case_id,family,true_action,safety_critical,cue_clarity,text_specificity,physical_affordance,distractor_strength,cue_text_conflict,text_only_score,text_only_prediction,text_only_clarify,captioned_cues_score,captioned_cues_prediction,captioned_cues_clarify,embodied_prompt_graph_score,embodied_prompt_graph_prediction,embodied_prompt_graph_clarify
gaze-held_object_handover_030,gaze-held object handover,accept_handover,0,0.748,0.6691,0.9794,0.3332,0,0.5513,accept_handover,0,0.6444,accept_handover,0,0.7401,accept_handover,0
gaze-held_object_handover_031,gaze-held object handover,accept_handover,0,0.794,0.1278,0.8227,0.2882,0,0.2244,clarify,1,0.6177,accept_handover,0,0.7356,accept_handover,0
gaze-held_object_handover_032,gaze-held object handover,accept_handover,0,0.6523,0.103,0.8381,0.1233,0,0.2295,clarify,1,0.5449,accept_handover,0,0.6425,accept_handover,0
gaze-held_object_handover_033,gaze-held object handover,accept_handover,0,0.5823,0.5227,0.7311,0.3635,0,0.3581,clarify,1,0.519,halt,0,0.5503,accept_handover,0
gaze-held_object_handover_034,gaze-held object handover,accept_handover,0,0.6853,0.623,0.9877,0.12,0,0.5593,accept_handover,0,0.6158,accept_handover,0,0.7681,accept_handover,0
gaze-held_object_handover_035,gaze-held object handover,accept_handover,0,0.7347,0.3234,0.7374,0.256,0,0.3449,clarify,1,0.6236,accept_handover,0,0.6329,accept_handover,0
gaze-held_object_handover_036,gaze-held object handover,accept_handover,0,0.7625,0.3327,0.7931,0.4012,0,0.254,clarify,1,0.5862,accept_handover,0,0.6418,accept_handover,0
gaze-held_object_handover_037,gaze-held object handover,accept_handover,0,0.6081,0.2207,0.7043,0.1872,0,0.2566,clarify,1,0.4846,align_and_place,0,0.6532,accept_handover,0
gaze-held_object_handover_038,gaze-held object handover,accept_handover,0,0.925,0.2173,0.5287,0.0764,0,0.305,clarify,1,0.6746,accept_handover,0,0.6816,accept_handover,0
gaze-held_object_handover_039,gaze-held object handover,accept_handover,0,0.5943,0.3171,0.8746,0.3404,0,0.3132,clarify,1,0.4735,halt,0,0.6857,accept_handover,0
gaze-held_object_handover_040,gaze-held object handover,accept_handover,0,0.6255,0.4703,0.7447,0.1571,0,0.3744,clarify,1,0.6387,accept_handover,0,0.6778,accept_handover,0
gaze-held_object_handover_041,gaze-held object handover,accept_handover,0,0.8628,0.2098,0.6705,0.2252,0,0.1081,clarify,1,0.6132,accept_handover,0,0.6972,accept_handover,0
gaze-held_object_handover_042,gaze-held object handover,accept_handover,0,0.8434,0.3464,0.8365,0.1073,0,0.3863,follow_path,0,0.6092,accept_handover,0,0.7802,accept_handover,0
gaze-held_object_handover_043,gaze-held object handover,accept_handover,0,0.7599,0.3284,0.6789,0.1226,0,0.3522,clarify,1,0.6585,accept_handover,0,0.7513,accept_handover,0
gaze-held_object_handover_044,gaze-held object handover,accept_handover,0,0.7216,0.4821,1.0,0.2929,0,0.3389,clarify,1,0.5621,accept_handover,0,0.7176,accept_handover,0
gaze-held_object_handover_045,gaze-held object handover,accept_handover,0,0.8872,0.4881,0.8725,0.1722,0,0.5516,accept_handover,0,0.635,accept_handover,0,0.8631,accept_handover,0
gaze-held_object_handover_046,gaze-held object handover,accept_handover,0,0.6309,0.6222,0.6285,0.4299,0,0.3695,clarify,1,0.5371,accept_handover,0,0.6112,accept_handover,0
gaze-held_object_handover_047,gaze-held object handover,accept_handover,0,0.7763,0.0623,0.8978,0.0554,0,0.2392,clarify,1,0.5507,accept_handover,0,0.8159,accept_handover,0
gaze-held_object_handover_048,gaze-held object handover,accept_handover,0,0.4841,0.6572,0.9102,0.295,0,0.4516,align_and_place,0,0.528,accept_handover,0,0.6601,accept_handover,0
gaze-held_object_handover_049,gaze-held object handover,accept_handover,0,0.6786,0.5869,0.7127,0.3677,0,0.399,follow_path,0,0.582,accept_handover,0,0.6267,accept_handover,0
gaze-held_object_handover_050,gaze-held object handover,accept_handover,0,0.6413,0.2044,0.6235,0.17,0,0.1876,clarify,1,0.5383,accept_handover,0,0.6088,accept_handover,0
gaze-held_object_handover_051,gaze-held object handover,accept_handover,0,0.6369,0.6864,0.6636,0.4556,1,0.2754,clarify,1,0.3103,clarify,1,0.5972,accept_handover,0
gaze-held_object_handover_052,gaze-held object handover,accept_handover,0,0.8659,0.4755,0.802,0.0,0,0.56,accept_handover,0,0.6762,accept_handover,0,0.7909,accept_handover,0
gaze-held_object_handover_053,gaze-held object handover,accept_handover,0,0.5697,0.381,0.7285,0.3479,0,0.2904,clarify,1,0.4331,move_to_target,0,0.6197,accept_handover,0
gaze-held_object_handover_054,gaze-held object handover,accept_handover,0,0.7571,0.4839,0.845,0.562,1,0.2207,clarify,1,0.3766,clarify,1,0.7113,accept_handover,0
gaze-held_object_handover_055,gaze-held object handover,accept_handover,0,0.762,0.6197,0.5775,0.0037,0,0.4861,follow_path,0,0.6293,accept_handover,0,0.7263,accept_handover,0
gaze-held_object_handover_056,gaze-held object handover,accept_handover,0,0.7501,0.3119,0.823,0.2117,0,0.3522,clarify,1,0.6898,accept_handover,0,0.7095,accept_handover,0
gaze-held_object_handover_057,gaze-held object handover,accept_handover,0,0.736,0.613,0.5109,0.5155,1,0.314,clarify,1,0.351,clarify,1,0.6008,accept_handover,0
gaze-held_object_handover_058,gaze-held object handover,accept_handover,0,0.7653,0.6486,0.7624,0.405,0,0.3153,clarify,1,0.5971,accept_handover,0,0.7239,accept_handover,0
gaze-held_object_handover_059,gaze-held object handover,accept_handover,0,0.7469,0.6044,0.9548,0.0637,0,0.5242,accept_handover,0,0.674,accept_handover,0,0.69,accept_handover,0
