paper_id,query,anchor,authors,category,relevance,boundary_note
R48-021,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-022,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-023,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-024,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-025,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-026,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-027,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-028,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-029,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-030,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-031,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-032,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-033,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-034,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-035,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-036,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-037,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-038,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-039,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-040,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-041,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-042,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-043,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-044,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-045,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-046,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-047,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-048,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-049,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-050,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-051,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-052,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-053,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-054,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-055,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-056,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-057,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-058,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-059,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-060,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-061,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-062,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-063,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-064,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-065,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-066,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-067,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-068,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-069,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-070,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-071,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-072,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-073,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-074,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-075,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-076,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-077,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-078,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-079,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-080,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-081,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-082,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-083,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-084,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-085,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-086,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-087,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-088,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-089,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-090,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-091,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-092,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-093,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-094,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-095,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-096,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-097,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-098,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-099,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-100,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-101,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-102,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-103,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-104,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-105,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-106,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-107,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-108,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-109,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-110,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-111,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-112,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-113,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-114,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-115,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-116,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-117,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-118,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-119,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-120,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-121,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-122,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-123,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-124,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-125,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-126,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-127,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-128,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-129,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-130,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-131,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-132,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-133,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-134,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-135,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-136,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-137,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-138,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-139,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-140,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-141,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-142,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-143,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-144,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-145,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-146,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-147,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-148,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-149,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-150,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-151,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-152,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-153,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-154,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-155,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-156,robot contact cue prompt grounding,SayCan,Ahn et al.,language-affordance,Language plans need affordance filters before acting.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-157,robot object alignment prompt grounding,VIMA,Jiang et al.,multimodal prompts,Prompts can combine visual goal examples and language.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-158,robot workspace marker prompt grounding,RT-1,Brohan et al.,robot transformer,Large robot policies can condition on instruction and images.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-159,robot gaze prompt grounding,PaLM-E,Driess et al.,embodied VLM,Visual-language models can be injected with embodied observations.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-160,robot human correction prompt grounding,Diffusion Policy,Chi et al.,action sequence,Visuomotor action distributions can be represented directly.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-161,robot pose trace prompt grounding,learning from demonstration,Argall et al.,survey,Demonstrations encode task intent through action traces.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-162,robot gesture prompt grounding,natural language robot commands,Tellex et al.,grounding,Language grounding is effective when symbols bind to robot state.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
R48-163,robot handover timing prompt grounding,interactive robot learning,Cakmak and Thomaz,clarification,Robots can ask clarifying questions when instruction is underspecified.,"Useful background, but it does not isolate nonverbal prompts as executable physical state."
